site_unique,site_location_name,established_date,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,outcrop_lithology,other_outcrop_lithology,site_location_visit_id,visit_start_date,visit_end_date,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number,x,y
SAAEYB0011-58847,SAAEYB0011,2020-10-20T19:47:23Z,EYB,PLA,PLA,0,"",KC,NC,58847,2020-10-20T19:47:23Z,2020-10-20T19:47:23Z,n/a,X,n/a,TM,4,0,DRY,FFR,46,42,46,686543.6,6107736.9,53,WGS84,TABLET,P,3 RU CY DZ AR ILT,TRUE,TRUE,TRUE,-35.156909,137.046928,SW,SA,2020-10-20,1,137.046928,-35.156909
SAAEYB0012-58840,SAAEYB0012,2020-09-30T08:32:49Z,EYB,PLA,PLA,2,225,KA,,58840,2020-09-30T08:32:49Z,2020-09-30T08:32:49Z,n/a,X,n/a,Z,4,0,WET,FFR,46,42,46,677369.6,6106076.3,53,WGS84,TABLET,P,3 CA CV CZ IC -GL-U,TRUE,TRUE,TRUE,-35.1725933091166,136.946590517549,SW,SA,2020-09-30,1,136.946590517549,-35.1725933091166
SAAEYB0013-58845,SAAEYB0013,2020-09-09T14:44:19Z,EYB,PLA,PLA,3,135,KA,,58845,2020-10-15T14:44:19Z,2020-10-15T14:44:19Z,n/a,X,n/a,Z,4,0,DRY,FFR,46,45,46,691018.9,6103903.3,53,WGS84,TABLET,P,3 RU CY CZ AR H-T,TRUE,TRUE,TRUE,-35.1897168287742,137.096902886899,SW,SA,2020-10-15,1,137.096902886899,-35.1897168287742
SAAEYB0015-58915,SAAEYB0015,2021-09-21T00:00:00Z,EYB,RIS,HSL,2,0,KA,NC,58915,2021-09-21T00:00:00Z,2021-09-21T00:00:00Z,n/a,0,n/a,Z,5,0,WET,FFR,13,13,13,,,,"","",P,3 RU EL DZ ZZ GKV WR,TRUE,TRUE,TRUE,-35.1962391880988,136.954093137667,SW,SA,2021-09-21,1,136.954093137667,-35.1962391880988
SAAEYB0016-58916,SAAEYB0016,2021-09-23T00:00:00Z,EYB,PLA,PLA,3,0,KA,NC,58916,2021-09-23T00:00:00Z,2021-09-23T00:00:00Z,n/a,X,n/a,Z,5,0,WET,FFR,13,13,13,,,,"","",P,3 RU CY DZ AR HMU WR,TRUE,TRUE,TRUE,-35.1789489995681,137.179988304601,SW,SA,2021-09-23,1,137.179988304601,-35.1789489995681
SAAEYB0021-58834,SAAEYB0021,2020-09-11T16:41:39Z,EYB,DUN,DUS,3,45,,NC,58834,2020-09-11T16:41:39Z,2020-09-11T16:41:39Z,n/a,X,n/a,Z,3,0,DRY,FFR,44,45,30,604477.9,6255137.1,53,WGS84,GPS,P,3 SO AC ES BD BEKO-,TRUE,TRUE,TRUE,-33.8388221207133,136.129233067226,SW,SA,2020-09-11,1,136.129233067226,-33.8388221207133
SAAEYB0022-58839,SAAEYB0022,2020-09-12T12:13:06Z,EYB,DUN,DUS,3,300,,,58839,2020-09-12T12:13:06Z,2020-09-12T12:13:06Z,n/a,X,n/a,Z,4,0,DRY,AVG,30,45,1,594274.8,6255638.5,53,WGS84,GPS,P,3 CH AA AH AZ DEKMX,TRUE,TRUE,TRUE,-33.8352958348223,136.018886214555,SW,SA,2020-09-12,1,136.018886214555,-33.8352958348223
SAAEYB0023-58835,SAAEYB0023,2020-09-12T16:26:19Z,EYB,DUN,DUS,4,45,,,58835,2020-09-12T16:26:19Z,2020-09-12T16:26:19Z,n/a,X,n/a,Z,4,0,DRY,AVG,1,45,30,606291.8,6258204.6,53,WGS84,GPS,P,3 CH AB AH AZ DEKMX,TRUE,TRUE,TRUE,-33.8109867050971,136.147319838707,SW,SA,2020-09-12,1,136.147319838707,-33.8109867050971
SAAEYB0024-58836,SAAEYB0024,2020-09-13T12:25:53Z,EYB,SAN,DUS,1,360,,,58836,2020-09-13T12:25:53Z,2020-09-13T12:25:53Z,n/a,X,n/a,Z,3,0,WET,AVG,44,45,1,598851,6263866.2,53,WGS84,GPS,P,4 SO AB FN CV BEKO-,TRUE,TRUE,TRUE,-33.7616102915026,136.067405126058,SW,SA,2020-09-13,1,136.067405126058,-33.7616102915026
SAAEYB0025-58844,SAAEYB0025,2020-09-14T13:52:27Z,EYB,DUN,DUS,4,180,KC,KC,58844,2020-09-14T13:52:27Z,2020-09-14T13:52:27Z,n/a,X,n/a,Z,4,0,WET,FFR,30,45,30,533990.5,6164466.7,53,WGS84,TABLET,P,3 CA DA DZ CP -HK-T,TRUE,TRUE,TRUE,-34.6620865346686,135.37095427325,SW,SA,2020-09-14,1,135.37095427325,-34.6620865346686
